director_id,director_name
1,Haile Gerima
2,Andy Devonshire
3,Theodore Melfi
4,Christian Schwochow
5,S. Shankar
6,Dennis Dugan
7,Scott Stewart
8,Robert Luketic
9,George Nolfi
10,Steven Spielberg
11,Jeannot Szwarc
12,Joe Alves
13,Joseph Sargent
14,Daniel Espinosa
15,Antoine Fuqua
16,Toshiya Shinohara
17,Masahiko Murata
18,Hajime Kamegaki
19,Hirotsugu Kawasaki
20,Toshiyuki Tsuru
21,Tensai Okamura
22,Kemi Adetiba
23,Cedric Nicolas-Troyan
24,JJC Skillz
25,Funke Akindele
26,Alice Waddington
27,Raja Gosnell
28,Stephen Kijak
29,Lijo Jose Pellissery
30,David de Vos
31,Rahul Rawail
32,Jane Campion
33,Nagesh Kukunoor
34,Shanker Raman
35,Vidhu Vinod Chopra
36,Mark Rosman
37,Lasse Hallström
38,Ridley Scott
39,Neill Blomkamp
40,Phillip Noyce
41,Renny Harlin
42,Anthony Minghella
43,Simon Wincer
44,Spike Lee
45,Sebastián Schindel
46,Steven C. Miller
47,Richard LaGravenese
48,Martin Campbell
49,Reginald Hudlin
50,George Jackson
51,Doug McHenry
52,Eric Meza
53,Michael Martin
54,Michael Rymer
55,Andrew Lau Wai-keung
56,Alan Mak
57,Brett Weiner
58,Jim Henson
59,Gary Winick
60,Danishka Esterhazy
61,Troy Byer
62,Pang Ho-cheung
63,Tim Burton
64,David Zucker
65,Kinka Usher
66,Sergio Leone
67,Matthew O'Callaghan
68,Todd Wilderman
69,Bobby Farrelly
70,Peter Farrelly
71,Wolfgang Petersen
72,Peter Spirer
73,Michael Carney
74,Richard Linklater
75,Amy Rice
76,Randal Kleiser
77,Michael Ritchie
78,J. Lee Thompson
79,Evan Goldberg
80,Seth Rogen
81,Tom Shadyac
82,Malcolm D. Lee
83,Ramzy Bedia
84,Éric Judor
85,Sharan Koppisetty
86,Taylor Sheridan
87,Sachin Yardi
88,Saurabh Kabra
89,Partho Mitra
90,Santram Varma
91,Anil V. Kumar
92,Anurag Basu
93,Sangeeth Sivan
94,Umesh Ghadge
95,David Dhawan
96,Dibakar Banerjee
97,Apoorva Lakhia
98,Milan Luthria
99,Pawan Kripalani
100,Bhushan Patel
101,Raj Nidimoru
102,Krishna D.K.
103,Angel Kristi Williams
104,Roger Donaldson
105,Christopher Alender
106,David Oyelowo
107,Brian Andrew Mendoza
108,Drake Doremus
109,Mani Ratnam
110,Paakhi Tyrewala
111,Steve Brill
112,Ferdinando Cito Filomarino
113,Juan Carlos Medina
114,Inma Torrente
115,Julián Gaviria
116,Steven Yamamoto
117,Charles Uwagbai
118,Julián Hernández
119,Vince Marcello
120,Jonathan Teplitzky
121,Dustin Hoffman
122,Adze Ugah
123,Quoc Bao Tran
124,Bejoy Nambiar
125,Priyadarshan
126,Karthik Narain
127,Vasanth Sai
128,Karthik Subbaraj
129,Arvind Swamy
130,Rathindran R Prasad
131,Sarjun
132,Gautham Vasudev Menon
133,Kayode Kasum
134,Just Philippot
135,Kirk DeMicco
136,Brandon Jeffords
137,Rohit Shetty
138,Alejandro Doria
139,Laura Fairrie
140,Marcelo Piñeyro
141,Izu Ojukwu
142,Peter Winther
143,Susan Lacy
144,James Mangold
145,Chineze Anyaene
146,Hsu Fu-chun
147,Brian Levant
148,Rod Daniel
149,Robert Zemeckis
150,Todor Chapkanov
151,Phil Lord
152,Christopher Miller
153,John Hughes
154,Justin Baldoni
155,Joe Roth
156,Mark Helfrich
157,Christopher Nolan
158,Paul Thomas Anderson
159,Nick Castle
160,Howard Zieff
161,David Feiss
162,David Gordon Green
163,Jorge Blanco
164,Zara Hayes
165,Gary Ross
166,Clint Eastwood
167,Trey Parker
168,Kelly Fremon Craig
