genre_id,genre_name
1,Dramas
2,Independent Movies
3,International Movies
4,British TV Shows
5,Reality TV
6,Comedies
7,Romantic Movies
8,Horror Movies
9,Sci-Fi & Fantasy
10,Thrillers
11,Action & Adventure
12,Classic Movies
13,Anime Features
14,Children & Family Movies
15,Documentaries
16,Music & Musicals
17,Cult Movies
18,Faith & Spirituality
19,LGBTQ Movies
20,Crime TV Shows
21,International TV Shows
22,TV Dramas
23,Romantic TV Shows
24,Spanish-Language TV Shows
25,Stand-Up Comedy
26,TV Shows
27,Movies
28,TV Comedies
29,Sports Movies
30,TV Action & Adventure
31,TV Sci-Fi & Fantasy
32,TV Mysteries
33,Docuseries
34,Anime Series
35,TV Horror
36,Teen TV Shows
37,Korean TV Shows
38,Stand-Up Comedy & Talk Shows
39,Kids' TV
40,Classic & Cult TV
41,TV Thrillers
42,Science & Nature TV
