show_id,title,rating,duration,release_year
s8,Sankofa,TV-MA,125 min,1993
s9,The Great British Baking Show,TV-14,9 Seasons,2021
s10,The Starling,PG-13,104 min,2021
s13,Je Suis Karl,TV-MA,127 min,2021
s25,Jeans,TV-14,166 min,1998
s28,Grown Ups,PG-13,103 min,2010
s29,Dark Skies,PG-13,97 min,2013
s30,Paranoia,PG-13,106 min,2013
s39,Birth of the Dragon,PG-13,96 min,2017
s42,Jaws,PG,124 min,1975
s43,Jaws 2,PG,116 min,1978
s44,Jaws 3,PG,98 min,1983
s45,Jaws: The Revenge,PG-13,91 min,1987
s47,Safe House,R,115 min,2012
s49,Training Day,R,122 min,2001
s52,InuYasha the Movie 2: The Castle Beyond the Looking Glass,TV-14,99 min,2002
s53,InuYasha the Movie 3: Swords of an Honorable Ruler,TV-14,99 min,2003
s54,InuYasha the Movie 4: Fire on the Mystic Island,TV-PG,88 min,2004
s55,InuYasha the Movie: Affections Touching Across Time,TV-PG,100 min,2001
s57,Naruto Shippuden the Movie: Blood Prison,TV-14,102 min,2011
s58,Naruto Shippûden the Movie: Bonds,TV-PG,93 min,2008
s59,Naruto Shippûden the Movie: The Will of Fire,TV-PG,96 min,2009
s60,Naruto Shippuden: The Movie,TV-PG,95 min,2007
s61,Naruto Shippuden: The Movie: The Lost Tower,TV-14,85 min,2010
s62,Naruto the Movie 2: Legend of the Stone of Gelel,TV-PG,97 min,2005
s63,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,TV-PG,95 min,2006
s64,Naruto the Movie: Ninja Clash in the Land of Snow,TV-PG,83 min,2004
s74,King of Boys,TV-MA,182 min,2018
s82,Kate,R,106 min,2021
s85,Omo Ghetto: the Saga,TV-MA,147 min,2020
s91,Paradise Hills,TV-MA,95 min,2019
s95,Show Dogs,PG,90 min,2018
s97,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,TV-MA,97 min,2018
s106,Angamaly Diaries,TV-14,128 min,2017
s108,A Champion Heart,G,90 min,2018
s115,Anjaam,TV-14,143 min,1994
s116,Bright Star,PG,119 min,2009
s117,Dhanak,TV-PG,114 min,2015
s119,Gurgaon,TV-14,106 min,2017
s123,In the Cut,R,118 min,2003
s127,Shikara,TV-14,115 min,2020
s128,A Cinderella Story,PG,95 min,2004
s130,An Unfinished Life,PG-13,108 min,2005
s132,Blade Runner: The Final Cut,R,117 min,1982
s134,Chappie,R,121 min,2015
s135,Clear and Present Danger,PG-13,142 min,1994
s136,Cliffhanger,R,113 min,1993
s137,Cold Mountain,R,154 min,2003
s138,Crocodile Dundee in Los Angeles,PG,95 min,2001
s139,Dear John,PG-13,108 min,2010
s140,Do the Right Thing,R,120 min,1989
s141,"El patrón, radiografía de un crimen",TV-MA,100 min,2014
s142,Extraction,R,82 min,2015
s143,Freedom Writers,PG-13,124 min,2007
s144,Green Lantern,PG-13,114 min,2011
s145,House Party,R,104 min,1990
s146,House Party 2,R,94 min,1991
s147,House Party 3,R,94 min,1994
s150,I Got the Hook Up,R,93 min,1998
s151,In Too Deep,R,97 min,1999
s152,Initial D,TV-14,109 min,2005
s153,Janoskians: Untold and Untrue,TV-MA,88 min,2016
s156,Labyrinth,PG,101 min,1986
s157,Letters to Juliet,PG,105 min,2010
s158,Level 16,TV-14,102 min,2018
s159,Love Don't Cost a Thing,PG-13,101 min,2003
s160,Love in a Puff,TV-MA,103 min,2010
s162,Mars Attacks!,PG-13,106 min,1996
s163,Marshall,PG-13,118 min,2017
s164,My Boss's Daughter,R,86 min,2003
s165,Mystery Men,PG-13,121 min,1999
s167,Once Upon a Time in America,R,229 min,1984
