show_id,genre_id
s8,1
s8,2
s8,3
s9,4
s9,5
s10,6
s10,1
s13,1
s13,3
s25,6
s25,3
s25,7
s28,6
s29,8
s29,9
s30,10
s39,11
s39,1
s42,11
s42,12
s42,1
s43,1
s43,8
s43,10
s44,11
s44,8
s44,10
s45,11
s45,8
s45,10
s47,11
s49,1
s49,10
s52,11
s52,13
s52,3
s53,11
s53,13
s53,3
s54,11
s54,13
s54,3
s55,11
s55,13
s55,3
s57,11
s57,13
s57,3
s58,11
s58,13
s58,3
s59,11
s59,13
s59,3
s60,11
s60,13
s60,3
s61,11
s61,13
s61,3
s62,11
s62,13
s62,3
s63,11
s63,13
s63,3
s64,11
s64,13
s64,3
s74,1
s74,3
s82,11
s85,11
s85,6
s85,1
s91,9
s91,10
s95,14
s95,6
s97,15
s97,16
s106,11
s106,6
s106,1
s108,14
s108,1
s115,1
s115,3
s115,10
s116,1
s116,7
s117,6
s117,1
s117,2
s119,1
s119,3
s119,10
s123,10
s127,1
s127,3
s127,7
s128,14
s128,6
s130,1
s132,11
s132,12
s132,17
s134,11
s134,9
s135,11
s135,1
s136,11
s137,1
s137,7
s138,11
s138,6
s139,1
s139,7
s140,12
s140,6
s140,1
s141,1
s141,3
s141,10
s142,11
s143,1
s144,11
s144,9
s145,6
s145,17
s146,6
s146,17
s146,16
s147,6
s147,16
s150,11
s150,6
s151,10
s152,11
s152,3
s153,6
s156,11
s156,14
s156,17
s157,6
s157,1
s157,7
s158,9
s158,10
s159,6
s159,7
s160,6
s160,1
s160,3
s162,6
s162,17
s162,9
s163,1
s164,6
s164,7
s165,11
s165,6
s167,12
s167,1
s168,14
s168,6
s169,11
s169,14
s169,6
s170,11
s170,1
s171,15
s171,16
s172,1
s172,18
s173,6
s173,16
s174,15
s174,19
s175,11
s175,1
s176,1
s176,7
s177,11
s177,6
s178,11
s178,12
s179,11
s179,6
s180,6
s180,7
s183,6
s184,11
s184,12
s189,6
s189,3
s191,1
s191,3
s192,1
s192,2
s193,11
s193,6
s193,3
s196,6
s196,1
s196,3
s199,20
s199,21
s199,22
s200,6
s200,1
s200,3
s201,11
s201,8
s201,3
s202,1
s202,3
s202,10
s203,6
s203,3
s203,16
s204,6
s204,3
s205,6
s205,3
s206,6
s206,3
s206,9
s207,1
s207,2
s207,3
s208,11
s208,3
s208,16
s209,1
s209,3
s209,16
s210,1
s210,3
s210,16
s211,8
s211,3
s212,8
s212,3
s216,11
s216,1
s216,3
s217,6
s217,1
s217,2
s218,6
s218,1
s218,3
s228,1
s228,2
s228,7
s229,11
s230,8
s232,14
s232,1
s248,11
s248,1
s252,1
s252,2
s252,7
s254,1
s254,3
s254,7
s260,6
s260,1
s260,3
s265,6
s265,2
s268,12
s268,1
s268,2
s271,11
s274,20
s274,21
s274,22
s277,21
s277,23
s277,24
s279,25
s280,11
s280,13
s280,14
s282,6
s282,3
s283,1
s283,2
s283,3
s285,6
s285,7
s286,1
s286,3
s293,6
s293,1
s293,2
s294,6
s294,3
s294,7
s296,11
s296,6
s298,26
s299,6
s299,1
s299,3
s300,8
s300,2
s300,3
s301,14
s301,16
s302,11
s302,6
s302,3
s304,6
s304,17
s304,3
s305,15
s306,12
s306,1
s306,3
s307,1
s307,3
s308,8
s309,27
s315,1
s315,2
s315,7
s316,1
s316,3
s317,21
s317,23
s317,28
s326,14
s326,6
s327,14
s327,6
s328,11
s328,9
s329,11
s330,1
s331,14
s331,6
s331,9
s333,11
s333,8
s333,9
s334,12
s334,6
